Date,ADA
11/4/2019,3.56
11/14/2019,4
11/20/2019,4.45
11/29/2019,4.45
12/6/2019,4.45
12/12/2019,4.45
12/17/2019,4.45
12/18/2019,4.45
1/6/2020,4.45
1/10/2020,4.45
1/16/2020,4.45
1/22/2020,4.89
1/23/2020,4.89
1/29/2020,5.78
1/30/2020,6.9
1/31/2020,6.9
2/3/2020,6.67
2/5/2020,6.67
2/10/2020,7.12
2/14/2020,7.12
2/18/2020,8.01
2/19/2020,8.01
2/20/2020,8.01
2/27/2020,8.01
3/3/2020,8.01
3/9/2020,7.56
3/11/2020,7.56
3/12/2020,7.56
3/20/2020,4.89
3/27/2020,4.89
3/31/2020,4.89
4/20/2020,4.89
4/24/2020,4.89
4/28/2020,4.45
5/7/2020,4.45
5/11/2020,4.45
5/12/2020,6.23
5/15/2020,6.23
5/22/2020,6.23
5/27/2020,7
6/4/2020,6.23
6/5/2020,6.67
6/9/2020,6.67
6/10/2020,24.47
6/11/2020,24.47
6/12/2020,15.84
6/15/2020,14.24
6/16/2020,11.12
6/17/2020,11.57
6/18/2020,11.12
6/19/2020,11.57
6/23/2020,11.57
6/24/2020,11.12
6/25/2020,11.12
6/26/2020,11.12
7/2/2020,11.12
7/3/2020,11.12
7/6/2020,11.12
7/9/2020,10.23
7/10/2020,10.23
7/14/2020,10.23
7/16/2020,9.79
7/21/2020,9.34
7/27/2020,9.34
7/28/2020,9.34
8/6/2020,9.34
8/11/2020,7.34
8/17/2020,6.67
8/19/2020,6.67
8/28/2020,6.67
9/9/2020,6.67
9/10/2020,6.67
10/1/2020,6.67
10/5/2020,6.67
10/7/2020,5.56
10/20/2020,5.56
10/22/2020,5.67
10/26/2020,5.67
11/9/2020,5.67
11/10/2020,5.67
11/11/2020,5.67
11/18/2020,5.67
11/25/2020,5.67
11/26/2020,5.89
11/27/2020,6.01
12/2/2020,6.01
12/15/2020,6.01
12/16/2020,6.01
1/4/2021,6.23
1/7/2021,6.23
1/8/2021,6.23
1/11/2021,6.23
1/12/2021,6.23
1/13/2021,6.23
1/21/2021,6.23
1/26/2021,6.23
1/28/2021,6.67
2/2/2021,6.67
2/3/2021,7.34
2/8/2021,7.45
2/9/2021,8.34
2/10/2021,8.34
2/11/2021,8.34
2/12/2021,8.34
2/15/2021,8.34
2/16/2021,8.23
2/17/2021,8.23
2/18/2021,8.23
2/19/2021,8.23
2/22/2021,8.23
2/23/2021,8.23
2/24/2021,8.01
2/25/2021,8.01
2/26/2021,8.01
3/1/2021,8.41
3/2/2021,7.9
3/3/2021,7.9
3/4/2021,7.9
3/5/2021,7.9
3/8/2021,7.79
3/11/2021,7.79
3/12/2021,7.79
3/15/2021,7.79
3/17/2021,7.79
3/18/2021,7.79
3/26/2021,8.5
3/29/2021,9.38
3/30/2021,9.38
3/31/2021,8.5
4/1/2021,8.5
4/6/2021,8.5
4/8/2021,8.5
4/9/2021,8.5
4/12/2021,8.5
4/13/2021,8.5
4/14/2021,8.5
4/22/2021,8
4/23/2021,8
4/27/2021,8