Date,ETH
4/30/2018,22.05
5/1/2018,22.55
5/2/2018,23
5/3/2018,23.15
5/4/2018,23.95
5/7/2018,23.85
5/8/2018,23.9
5/9/2018,23.9
5/10/2018,23.8
5/11/2018,24.1
5/14/2018,23.95
5/15/2018,23.7
5/16/2018,24.3
5/17/2018,24.35
5/18/2018,24.35
5/21/2018,24.65
5/22/2018,23.7
5/23/2018,24.15
5/24/2018,24.3
5/25/2018,24.25
5/29/2018,24.2
5/30/2018,24.2
5/31/2018,23.45
6/1/2018,23.75
6/4/2018,24.05
6/5/2018,24.6
6/6/2018,24.5
6/7/2018,24.2
6/8/2018,24.2
6/11/2018,24.3
6/12/2018,24.25
6/13/2018,24.15
6/14/2018,24.4
6/15/2018,24.3
6/18/2018,24.6
6/19/2018,24.95
6/20/2018,25.05
6/21/2018,24.9
6/22/2018,24.45
6/25/2018,24.1
6/26/2018,24.8
6/27/2018,24.1
6/28/2018,24.35
6/29/2018,24.5
7/2/2018,24.55
7/3/2018,24.7
7/5/2018,24.95
7/6/2018,25.35
7/9/2018,25.35
7/10/2018,25
7/11/2018,24.85
7/12/2018,24.95
7/13/2018,25.05
7/16/2018,24.2
7/17/2018,24.4
7/18/2018,24.25
7/19/2018,24.65
7/20/2018,24.3
7/23/2018,24.2
7/24/2018,23.55
7/25/2018,23.45
7/26/2018,22.5
7/27/2018,22.35
7/30/2018,22.45
7/31/2018,22.5
8/1/2018,22.25
8/2/2018,22.25
8/3/2018,22.5
8/6/2018,22.15
8/7/2018,22.35
8/8/2018,22.45
8/9/2018,22.2
8/10/2018,22.1
8/13/2018,22.35
8/14/2018,22.65
8/15/2018,22.7
8/16/2018,22.85
8/17/2018,23.05
8/20/2018,23.3
8/21/2018,23.45
8/22/2018,23.1
8/23/2018,22.85
8/24/2018,22.85
8/27/2018,22.65
8/28/2018,22.65
8/29/2018,22.6
8/30/2018,22.1
8/31/2018,22.25
9/4/2018,22.25
9/5/2018,22.25
9/6/2018,22.2
9/7/2018,22.5
9/10/2018,23
9/11/2018,22.7
9/12/2018,21.95
9/13/2018,21.6
9/14/2018,21.9
9/17/2018,21.75
9/18/2018,21.55
9/19/2018,21.8
9/20/2018,22.05
9/21/2018,21.7
9/24/2018,21.4
9/25/2018,21.4
9/26/2018,21.45
9/27/2018,20.65
9/28/2018,20.75
10/1/2018,20.72
10/2/2018,20.51
10/3/2018,20.88
10/4/2018,20.71
10/5/2018,19.85
10/8/2018,20.06
10/9/2018,19.27
10/10/2018,19.33
10/11/2018,20.49
10/12/2018,20.45
10/15/2018,20.69
10/16/2018,21.3
10/17/2018,20.93
10/18/2018,20.4
10/19/2018,19.99
10/22/2018,20.06
10/23/2018,20.08
10/24/2018,19.51
10/25/2018,19.86
10/26/2018,19.7
10/29/2018,19.52
10/30/2018,19.93
10/31/2018,19.14
11/1/2018,19.68
11/2/2018,19.79
11/5/2018,19.04
11/6/2018,19.5
11/7/2018,19.78
11/8/2018,19.74
11/9/2018,19.81
11/12/2018,19.37
11/13/2018,19.7
11/14/2018,19.33
11/15/2018,19.12
11/16/2018,19.57
11/19/2018,19.28
11/20/2018,19.58
11/21/2018,20.37
11/23/2018,20.47
11/26/2018,20.56
11/27/2018,20.44
11/28/2018,20.87
11/29/2018,20.73
11/30/2018,20.78
12/3/2018,20.81
12/4/2018,19.79
12/6/2018,20.08
12/7/2018,19.69
12/10/2018,19.39
12/11/2018,19.47
12/12/2018,19.55
12/13/2018,19.04
12/14/2018,18.65
12/17/2018,18.84
12/18/2018,18.91
12/19/2018,18.24
12/20/2018,18.09
12/21/2018,17.8
12/24/2018,17.48
12/26/2018,17.86
12/27/2018,17.93
12/28/2018,17.94
12/31/2018,17.59
1/2/2019,17.87
1/3/2019,18
1/4/2019,18.77
1/7/2019,19.44
1/8/2019,19.6
1/9/2019,18.73
1/10/2019,18.63
1/11/2019,18.28
1/14/2019,18.5
1/15/2019,18.18
1/16/2019,18.51
1/17/2019,18.66
1/18/2019,18.67
1/22/2019,18.43
1/23/2019,18.44
1/24/2019,18.48
1/25/2019,18.76
1/28/2019,18.75
1/29/2019,17.98
1/30/2019,18.05
1/31/2019,18.98
2/1/2019,18.89
2/4/2019,18.99
2/5/2019,19.06
2/6/2019,18.47
2/7/2019,18.71
2/8/2019,19.23
2/11/2019,19.18
2/12/2019,19.55
2/13/2019,19.32
2/14/2019,19.51
2/15/2019,19.76
2/19/2019,19.72
2/20/2019,19.66
2/21/2019,19.5
2/22/2019,19.69
2/25/2019,20.16
2/26/2019,20.34
2/27/2019,19.74
2/28/2019,20.08
3/1/2019,20.29
3/4/2019,19.87
3/5/2019,19.56
3/6/2019,19.66
3/7/2019,19.36
3/8/2019,19.37
3/11/2019,19.59
3/12/2019,19.45
3/13/2019,19.26
3/14/2019,18.94
3/15/2019,19.15
3/18/2019,19.39
3/19/2019,19.34
3/20/2019,19.04
3/21/2019,19.14
3/22/2019,18.55
3/25/2019,18.96
3/26/2019,19.24
3/27/2019,19.39
3/28/2019,19.41
3/29/2019,19.13
4/1/2019,19.18
4/2/2019,18.96
4/3/2019,19.17
4/4/2019,19.5
4/5/2019,19.56
4/8/2019,19.56
4/9/2019,19.47
4/10/2019,19.85
4/11/2019,20.24
4/12/2019,19.94
4/15/2019,20.12
4/16/2019,20.31
4/17/2019,20.35
4/18/2019,20.05
4/22/2019,19.49
4/23/2019,19.85
4/24/2019,20.22
4/25/2019,19.75
4/26/2019,20.16
4/29/2019,20.41
4/30/2019,22.1
5/1/2019,21.82
5/2/2019,22.42
5/3/2019,22.54
5/6/2019,23.03
5/7/2019,22.43
5/8/2019,22.5
5/9/2019,22.67
5/10/2019,22.84
5/13/2019,22.32
5/14/2019,22.58
5/15/2019,22.8
5/16/2019,22.57
5/17/2019,22.64
5/20/2019,22.45
5/21/2019,22.34
5/22/2019,21.81
5/23/2019,21.43
5/24/2019,21.94
5/28/2019,21.64
5/29/2019,21.37
5/30/2019,21.72
5/31/2019,21.22
6/3/2019,20.88
6/4/2019,21.44
6/5/2019,21.28
6/6/2019,21.02
6/7/2019,20.91
6/10/2019,20.95
6/11/2019,20.91
6/12/2019,20.93
6/13/2019,21.02
6/14/2019,20.98
6/17/2019,20.67
6/18/2019,20.7
6/19/2019,20.99
6/20/2019,20.41
6/21/2019,20.13
6/24/2019,20.15
6/25/2019,20.24
6/26/2019,20.25
6/27/2019,20.56
6/28/2019,21.06
7/1/2019,21.16
7/2/2019,21.09
7/3/2019,21.03
7/5/2019,20.96
7/8/2019,20.92
7/9/2019,20.48
7/10/2019,20.73
7/11/2019,20.56
7/12/2019,20.74
7/15/2019,20.72
7/16/2019,21.44
7/17/2019,21.04
7/18/2019,20.67
7/19/2019,20.63
7/22/2019,20.49
7/23/2019,20.6
7/24/2019,20.77
7/25/2019,20.63
7/26/2019,20.89
7/29/2019,20.71
7/30/2019,20.86
7/31/2019,20.58
8/1/2019,18.39
8/2/2019,17.54
8/5/2019,17.55
8/6/2019,17.56
8/7/2019,17.7
8/8/2019,17.92
8/9/2019,17.8
8/12/2019,17.8
8/13/2019,18.12
8/14/2019,17.75
8/15/2019,17.7
8/16/2019,17.84
8/19/2019,18.04
8/20/2019,17.87
8/21/2019,17.94
8/22/2019,18.12
8/23/2019,17.73
8/26/2019,17.44
8/27/2019,17.05
8/28/2019,17.36
8/29/2019,17.3
8/30/2019,17.2
9/3/2019,16.88
9/4/2019,16.87
9/5/2019,17.53
9/6/2019,17.97
9/9/2019,18.2
9/10/2019,18.63
9/11/2019,18.94
9/12/2019,19.19
9/13/2019,19.35
9/16/2019,19.44
9/17/2019,19.15
9/18/2019,18.88
9/19/2019,18.59
9/20/2019,18.32
9/23/2019,18.5
9/24/2019,18.79
9/25/2019,18.69
9/26/2019,18.51
9/27/2019,18.88
9/30/2019,19.1
10/1/2019,18.93
10/2/2019,18.75
10/3/2019,18.23
10/4/2019,18.53
10/7/2019,18.89
10/8/2019,18.92
10/9/2019,18.3
10/10/2019,18.45
10/11/2019,18.61
10/14/2019,18.68
10/15/2019,18.78
10/16/2019,18.95
10/17/2019,19.15
10/18/2019,18.97
10/21/2019,19.27
10/22/2019,19.44
10/23/2019,19.44
10/24/2019,18.95
10/25/2019,19.37
10/28/2019,19.38
10/29/2019,19.71
10/30/2019,19.91
10/31/2019,19.71
11/1/2019,19.75
11/4/2019,19.7
11/5/2019,19.78
11/6/2019,19.41
11/7/2019,19.59
11/8/2019,19.53
11/11/2019,19.32
11/12/2019,19.18
11/13/2019,18.85
11/14/2019,18.93
11/15/2019,19.11
11/18/2019,18.87
11/19/2019,18.56
11/20/2019,18.26
11/21/2019,17.24
11/22/2019,17.12
11/25/2019,17.65
11/26/2019,17.57
11/27/2019,17.82
11/29/2019,17.88
12/2/2019,17.67
12/3/2019,17.42
12/4/2019,17.22
12/5/2019,17.19
12/6/2019,17.37
12/9/2019,17.6
12/10/2019,17.53
12/11/2019,17.74
12/12/2019,17.77
12/13/2019,17.73
12/16/2019,17.93
12/17/2019,18.24
12/18/2019,18.44
12/19/2019,18.61
12/20/2019,18.58
12/23/2019,18.69
12/24/2019,18.87
12/26/2019,18.89
12/27/2019,18.94
12/30/2019,19.19
12/31/2019,19.06
1/2/2020,18.58
1/3/2020,18.52
1/6/2020,18.68
1/7/2020,18.46
1/8/2020,18.24
1/9/2020,17.68
1/10/2020,17.62
1/13/2020,17.85
1/14/2020,17.65
1/15/2020,17.92
1/16/2020,18.19
1/17/2020,17.94
1/21/2020,17.62
1/22/2020,17.95
1/23/2020,18.02
1/24/2020,17.74
1/27/2020,17.5
1/28/2020,17.46
1/29/2020,17.03
1/30/2020,16.61
1/31/2020,16.15
2/3/2020,16.11
2/4/2020,15.84
2/5/2020,15.06
2/6/2020,14.58
2/7/2020,14.5
2/10/2020,14.49
2/11/2020,14.41
2/12/2020,14.56
2/13/2020,14.66
2/14/2020,14.56
2/18/2020,14.79
2/19/2020,14.62
2/20/2020,14.73
2/21/2020,14.61
2/24/2020,14.23
2/25/2020,13.37
2/26/2020,13.45
2/27/2020,13.35
2/28/2020,13.2
3/2/2020,13.33
3/3/2020,13.21
3/4/2020,13.68
3/5/2020,13.29
3/6/2020,13.31
3/9/2020,12.4
3/10/2020,11.91
3/11/2020,11.59
3/12/2020,10.52
3/13/2020,11.64
3/16/2020,10.25
3/17/2020,10.64
3/18/2020,9.97
3/19/2020,11.74
3/20/2020,11.2
3/23/2020,10.63
3/24/2020,11.73
3/25/2020,11.62
3/26/2020,12.12
3/27/2020,11.28
3/30/2020,10.8
3/31/2020,10.22
4/1/2020,9.46
4/2/2020,8.92
4/3/2020,8.61
4/6/2020,9.7
4/7/2020,9.5
4/8/2020,9.59
4/9/2020,10.58
4/13/2020,10.39
4/14/2020,9.94
4/15/2020,9.55
4/16/2020,9.28
4/17/2020,10.14
4/20/2020,9.87
4/21/2020,9.42
4/22/2020,9.43
4/23/2020,10.02
4/24/2020,10.8
4/27/2020,10.74
4/28/2020,11.53
4/29/2020,11.37
4/30/2020,11.31
5/1/2020,11.6
5/4/2020,11.56
5/5/2020,11.02
5/6/2020,10.5
5/7/2020,10.76
5/8/2020,11.54
5/11/2020,11.53
5/12/2020,9.84
5/13/2020,9.6
5/14/2020,10.03
5/15/2020,10.92
5/18/2020,11.43
5/19/2020,10.77
5/20/2020,10.48
5/21/2020,11.39
5/22/2020,11.4
5/26/2020,11.96
5/27/2020,12.5
5/28/2020,11.83
5/29/2020,11.3
6/1/2020,11.21
6/2/2020,11.41
6/3/2020,12.21
6/4/2020,12.39
6/5/2020,13.51
6/8/2020,13.94
6/9/2020,13.43
6/10/2020,12.57
6/11/2020,12.02
6/12/2020,12.14
6/15/2020,12.28
6/16/2020,12.62
6/17/2020,12.16
6/18/2020,12.17
6/19/2020,11.88
6/22/2020,12.03
6/23/2020,12.15
6/24/2020,11.43
6/25/2020,11
6/26/2020,11.15
6/29/2020,11.6
6/30/2020,11.83
7/1/2020,11.51
7/2/2020,11.29
7/6/2020,11.79
7/7/2020,11.48
7/8/2020,11.6
7/9/2020,10.82
7/10/2020,11.02
7/13/2020,11.11
7/14/2020,11.24
7/15/2020,11.85
7/16/2020,12.24
7/17/2020,12.03
7/20/2020,11.46
7/21/2020,12.27
7/22/2020,12.16
7/23/2020,11.94
7/24/2020,11.71
7/27/2020,11.69
7/28/2020,11.8
7/29/2020,11.98
7/30/2020,12.29
7/31/2020,11.84
8/3/2020,12.26
8/4/2020,13.89
8/5/2020,13.21
8/6/2020,12.75
8/7/2020,12.96
8/10/2020,13.29
8/11/2020,13.22
8/12/2020,12.97
8/13/2020,12.92
8/14/2020,13.17
8/17/2020,13.75
8/18/2020,13.77
8/19/2020,13.99
8/20/2020,14.81
8/21/2020,14.39
8/24/2020,14.55
8/25/2020,14.31
8/26/2020,14.66
8/27/2020,14.72
8/28/2020,14.5
8/31/2020,14.24
9/1/2020,14.78
9/2/2020,14.79
9/3/2020,14.49
9/4/2020,14.51
9/8/2020,14.64
9/9/2020,14.1
9/10/2020,14.03
9/11/2020,14.06
9/14/2020,13.75
9/15/2020,13.86
9/16/2020,14.27
9/17/2020,15.46
9/18/2020,15.23
9/21/2020,14.34
9/22/2020,14.48
9/23/2020,13.91
9/24/2020,13.72
9/25/2020,13.6
9/28/2020,13.76
9/29/2020,13.59
9/30/2020,13.54
10/1/2020,13.77
10/2/2020,14.01
10/5/2020,14.4
10/6/2020,14.47
10/7/2020,15.13
10/8/2020,15.15
10/9/2020,15.49
10/12/2020,15.63
10/13/2020,17.69
10/14/2020,17.05
10/15/2020,17.15
10/16/2020,17.04
10/19/2020,16.78
10/20/2020,16.78
10/21/2020,16.73
10/22/2020,16.94
10/23/2020,17.17
10/26/2020,17.25
10/27/2020,16.91
10/28/2020,16.33
10/29/2020,16.62
10/30/2020,16.05
11/2/2020,16.47
11/3/2020,16.78
11/4/2020,16.41
11/5/2020,16.72
11/6/2020,16.66
11/9/2020,16.51
11/10/2020,17.08
11/11/2020,17.13
11/12/2020,16.63
11/13/2020,17.18
11/16/2020,17.81
11/17/2020,18.02
11/18/2020,18.1
11/19/2020,18.27
11/20/2020,17.98
11/23/2020,18.12
11/24/2020,18.74
11/25/2020,18.83
11/27/2020,18.65
11/30/2020,18.27
12/1/2020,18.53
12/2/2020,18.62
12/3/2020,18.81
12/4/2020,19.09
12/7/2020,18.54
12/8/2020,18.54
12/9/2020,18.98
12/10/2020,18.97
12/11/2020,18.86
12/14/2020,18.57
12/15/2020,19
12/16/2020,18.79
12/17/2020,18.92
12/18/2020,19.13
12/21/2020,19.4
12/22/2020,20.05
12/23/2020,20.12
12/24/2020,20.08
12/28/2020,20.25
12/29/2020,20.02
12/30/2020,20.29
12/31/2020,20.21
1/4/2021,20.34
1/5/2021,20.89
1/6/2021,21.84
1/7/2021,21.75
1/8/2021,21.41
1/11/2021,22.05
1/12/2021,22.33
1/13/2021,21.93
1/14/2021,23.37
1/15/2021,22.91
1/19/2021,23.66
1/20/2021,23.8
1/21/2021,23.76
1/22/2021,24.25
1/25/2021,24.06
1/26/2021,24.48
1/27/2021,24.48
1/28/2021,24.33
1/29/2021,23.65
2/1/2021,23.69
2/2/2021,24.29
2/3/2021,24.33
2/4/2021,24.5
2/5/2021,24.82
2/8/2021,25.91
2/9/2021,25.2
2/10/2021,24.61
2/11/2021,24.38
2/12/2021,24.04
2/16/2021,23.83
2/17/2021,24.23
2/18/2021,24.23
2/19/2021,25
2/22/2021,25.11
2/23/2021,24.93
2/24/2021,25.65
2/25/2021,25.11
2/26/2021,25.62
3/1/2021,26.14
3/2/2021,26.22
3/3/2021,25.96
3/4/2021,24.86
3/5/2021,25.46
3/8/2021,27.07
3/9/2021,26.44
3/10/2021,27.78
3/11/2021,27.97
3/12/2021,28.75
3/15/2021,28.79
3/16/2021,28.36
3/17/2021,28.59
3/18/2021,29.02
3/19/2021,28.63
3/22/2021,28.31
3/23/2021,27.71
3/24/2021,26.58
3/25/2021,27.39
3/26/2021,27.69
3/29/2021,27.22
3/30/2021,27.56
3/31/2021,27.61
4/1/2021,27.96
4/5/2021,28.5
4/6/2021,28.9
4/7/2021,27.73
4/8/2021,27.27
4/9/2021,27.75
4/12/2021,27.77
4/13/2021,27.47
4/14/2021,27.57
4/15/2021,28.47
4/16/2021,29.18
4/19/2021,28.85
4/20/2021,28.28
4/21/2021,28.74
4/22/2021,28.63
4/23/2021,28.81
4/26/2021,28.76
4/27/2021,28.92
4/28/2021,31.49
4/29/2021,30.94